,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,brand_model_key
0,Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940.0,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,Tesla Model 3 Long Range Dual Motor
1,Volkswagen ,ID.3 Pure,10.0,160,270,167,250.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,Volkswagen ID.3 Pure
2,Polestar ,2,4.7,210,400,181,620.0,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,Polestar 2
3,BMW ,iX3 ,6.8,180,360,206,560.0,Yes,RWD,Type 2 CCS,SUV,D,5,68040,BMW iX3 
4,Honda ,e ,9.5,145,170,168,190.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,Honda e 
5,Lucid ,Air ,2.8,250,610,180,620.0,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,Lucid Air 
6,Volkswagen ,e-Golf ,9.6,150,190,168,220.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,Volkswagen e-Golf 
7,Peugeot ,e-208 ,8.1,150,275,164,420.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,Peugeot e-208 
8,Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650.0,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,Tesla Model 3 Standard Range Plus
9,Audi ,Q4 e-tron ,6.3,180,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,D,5,55000,Audi Q4 e-tron 
10,Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440.0,Yes,AWD,Type 2 CCS,SUV,D,5,69484,Mercedes EQC 400 4MATIC
11,Nissan ,Leaf ,7.9,144,220,164,230.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,Nissan Leaf 
12,Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,40795,Hyundai Kona Electric 64 kWh
13,BMW ,i4 ,4.0,200,450,178,650.0,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,BMW i4 
14,Hyundai ,IONIQ Electric,9.7,165,250,153,210.0,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,Hyundai IONIQ Electric
15,Volkswagen ,ID.3 Pro S,7.9,160,440,175,590.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,Volkswagen ID.3 Pro S
16,Porsche ,Taycan Turbo S,2.8,260,375,223,780.0,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,Porsche Taycan Turbo S
17,Volkswagen ,e-Up! ,11.9,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,Volkswagen e-Up! 
18,MG ,ZS EV,8.2,140,220,193,260.0,Yes,FWD,Type 2 CCS,SUV,B,5,30000,MG ZS EV
19,Mini ,Cooper SE ,7.3,150,185,156,260.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,Mini Cooper SE 
20,Opel ,Corsa-e ,8.1,150,275,164,420.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,Opel Corsa-e 
21,Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930.0,Yes,AWD,Type 2 CCS,SUV,D,7,58620,Tesla Model Y Long Range Dual Motor
22,Skoda ,Enyaq iV 50,10.0,160,290,179,230.0,Yes,RWD,Type 2 CCS,SUV,C,5,35000,Skoda Enyaq iV 50
23,Audi ,e-tron GT ,3.5,240,425,197,850.0,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,Audi e-tron GT 
24,Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910.0,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,Tesla Model 3 Long Range Performance
25,Volkswagen ,ID.4 ,7.5,160,420,183,560.0,Yes,RWD,Type 2 CCS,SUV,C,5,45000,Volkswagen ID.4 
26,Volkswagen ,ID.3 Pro,9.0,160,350,166,490.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,Volkswagen ID.3 Pro
27,Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470.0,Yes,AWD,Type 2 CCS,SUV,C,5,60437,Volvo XC40 P8 AWD Recharge
28,BMW ,i3 120 Ah,7.3,150,235,161,270.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,BMW i3 120 Ah
29,Peugeot ,e-2008 SUV ,8.5,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,34361,Peugeot e-2008 SUV 
30,Audi ,e-tron 50 quattro,6.8,190,280,231,450.0,Yes,AWD,Type 2 CCS,SUV,E,5,67358,Audi e-tron 50 quattro
31,Kia ,e-Niro 64 kWh,7.8,167,370,173,350.0,Yes,FWD,Type 2 CCS,SUV,C,5,38105,Kia e-Niro 64 kWh
32,Renault ,Zoe ZE50 R110,11.4,135,315,165,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184,Renault Zoe ZE50 R110
33,Tesla ,Cybertruck Tri Motor,3.0,210,750,267,710.0,Yes,AWD,Type 2 CCS,Pickup,N,6,75000,Tesla Cybertruck Tri Motor
34,Mazda ,MX-30 ,9.0,150,180,178,240.0,Yes,FWD,Type 2 CCS,SUV,C,5,32646,Mazda MX-30 
35,Nissan ,Leaf e+,7.3,157,325,172,390.0,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237,Nissan Leaf e+
36,Lexus ,UX 300e,7.5,160,270,193,190.0,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000,Lexus UX 300e
37,CUPRA ,el-Born ,6.5,160,425,181,570.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000,CUPRA el-Born 
38,Renault ,Zoe ZE50 R135,9.5,140,310,168,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133,Renault Zoe ZE50 R135
39,Mercedes ,EQA ,5.0,200,350,171,440.0,Yes,AWD,Type 2 CCS,SUV,C,5,45000,Mercedes EQA 
40,Tesla ,Model S Long Range,3.8,250,515,184,560.0,Yes,AWD,Type 2,Liftback,F,5,79990,Tesla Model S Long Range
41,Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210.0,Yes,FWD,Type 2 CCS,SUV,B,5,33971,Hyundai Kona Electric 39 kWh
42,Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610.0,Yes,AWD,Type 2 CCS,SUV,E,5,81639,Audi e-tron Sportback 55 quattro
43,Skoda ,CITIGOe iV ,12.3,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534,Skoda CITIGOe iV 
44,SEAT ,Mii Electric ,12.3,130,195,166,170.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129,SEAT Mii Electric 
45,Kia ,e-Soul 64 kWh,7.9,167,365,175,340.0,Yes,FWD,Type 2 CCS,SUV,B,5,36837,Kia e-Soul 64 kWh
46,Opel ,Ampera-e ,7.3,150,335,173,210.0,Yes,FWD,Type 2 CCS,MPV,B,5,41906,Opel Ampera-e 
47,Porsche ,Taycan 4S,4.0,250,365,195,730.0,Yes,AWD,Type 2 CCS,Sedan,F,4,102945,Porsche Taycan 4S
48,Lightyear ,One ,10.0,150,575,104,540.0,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,Lightyear One 
49,Aiways ,U5 ,9.0,150,335,188,350.0,Yes,FWD,Type 2 CCS,SUV,C,5,36057,Aiways U5 
50,Audi ,e-tron 55 quattro,5.7,200,365,237,590.0,Yes,AWD,Type 2 CCS,SUV,E,5,79445,Audi e-tron 55 quattro
51,Tesla ,Roadster ,2.1,410,970,206,920.0,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,Tesla Roadster 
52,Opel ,Mokka-e ,8.5,150,255,176,390.0,Yes,FWD,Type 2 CCS,SUV,B,5,35000,Opel Mokka-e 
53,Skoda ,Enyaq iV 80,8.8,160,420,183,560.0,Yes,RWD,Type 2 CCS,SUV,C,5,40000,Skoda Enyaq iV 80
54,Tesla ,Model X Long Range,4.6,250,450,211,490.0,Yes,AWD,Type 2,SUV,F,7,85990,Tesla Model X Long Range
55,Honda ,e Advance,8.3,145,170,168,190.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,Honda e Advance
56,DS ,3 Crossback E-Tense,8.7,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,B,5,37422,DS 3 Crossback E-Tense
57,Renault ,Twingo ZE,12.6,135,130,164,0.0,No,RWD,Type 2,Hatchback,A,4,24790,Renault Twingo ZE
58,Citroen ,e-C4 ,9.7,150,250,180,380.0,Yes,FWD,Type 2 CCS,SUV,C,5,40000,Citroen e-C4 
59,Tesla ,Model S Performance,2.5,261,505,188,550.0,Yes,AWD,Type 2,Liftback,F,5,96990,Tesla Model S Performance
60,Renault ,Zoe ZE40 R110,11.4,135,255,161,230.0,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,Renault Zoe ZE40 R110
61,Tesla ,Model Y Long Range Performance,3.7,241,410,177,900.0,Yes,AWD,Type 2 CCS,SUV,D,7,65620,Tesla Model Y Long Range Performance
62,Nissan ,Ariya 87kWh,7.6,160,440,198,520.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,Nissan Ariya 87kWh
63,Jaguar ,I-Pace ,4.8,200,365,232,340.0,Yes,AWD,Type 2 CCS,SUV,E,5,75351,Jaguar I-Pace 
64,Ford ,Mustang Mach-E ER RWD,7.0,180,450,200,430.0,Yes,RWD,Type 2 CCS,SUV,D,5,54475,Ford Mustang Mach-E ER RWD
65,Porsche ,Taycan 4S Plus,4.0,250,425,197,890.0,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,Porsche Taycan 4S Plus
66,Nissan ,e-NV200 Evalia ,14.0,123,190,200,190.0,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,Nissan e-NV200 Evalia 
67,Tesla ,Cybertruck Dual Motor,5.0,190,460,261,710.0,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,Tesla Cybertruck Dual Motor
68,Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,0.0,No,FWD,Type 2,SPV,N,5,38000,Renault Kangoo Maxi ZE 33
69,Ford ,Mustang Mach-E ER AWD,6.0,180,430,209,410.0,Yes,AWD,Type 2 CCS,SUV,D,5,62900,Ford Mustang Mach-E ER AWD
70,BMW ,i3s 120 Ah,6.9,160,230,165,260.0,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,BMW i3s 120 Ah
71,Skoda ,Enyaq iV 80X,7.0,160,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,45000,Skoda Enyaq iV 80X
72,Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770.0,Yes,AWD,Type 2 CCS,Station,F,4,150000,Porsche Taycan Cross Turismo 
73,Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460.0,Yes,AWD,Type 2 CCS,SUV,E,5,64000,Byton M-Byte 95 kWh 4WD
74,Sono ,Sion ,9.0,140,225,156,270.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,Sono Sion 
75,Kia ,e-Niro 39 kWh,9.8,155,235,167,230.0,Yes,FWD,Type 2 CCS,SUV,C,5,34400,Kia e-Niro 39 kWh
76,Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550.0,Yes,AWD,Type 2 CCS,SUV,D,5,57500,Audi Q4 Sportback e-tron 
77,Smart ,EQ forfour ,12.7,130,95,176,0.0,No,RWD,Type 2,Hatchback,A,4,22030,Smart EQ forfour 
78,Ford ,Mustang Mach-E SR AWD,6.0,180,340,206,360.0,Yes,AWD,Type 2 CCS,SUV,D,5,54000,Ford Mustang Mach-E SR AWD
79,Porsche ,Taycan Turbo,3.2,260,390,215,810.0,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,Porsche Taycan Turbo
80,Volkswagen ,ID.3 1st,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,Volkswagen ID.3 1st
81,Tesla ,Model X Performance,2.8,250,440,216,480.0,Yes,AWD,Type 2,SUV,F,7,102990,Tesla Model X Performance
82,Smart ,EQ fortwo coupe,11.6,130,100,167,0.0,No,RWD,Type 2,Hatchback,A,2,21387,Smart EQ fortwo coupe
83,Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380.0,Yes,RWD,Type 2 CCS,SUV,D,5,46900,Ford Mustang Mach-E SR RWD
84,Mercedes ,EQV 300 Long,10.0,140,330,273,290.0,Yes,FWD,Type 2 CCS,SPV,N,7,70631,Mercedes EQV 300 Long
85,Fiat ,500e Hatchback,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,Fiat 500e Hatchback
86,Tesla ,Cybertruck Single Motor,7.0,180,390,256,740.0,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,Tesla Cybertruck Single Motor
87,Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470.0,Yes,AWD,Type 2 CCS,SUV,E,5,69551,Audi e-tron Sportback 50 quattro
88,Skoda ,Enyaq iV vRS,6.2,180,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,47500,Skoda Enyaq iV vRS
89,Skoda ,Enyaq iV 60,9.0,160,320,181,440.0,Yes,RWD,Type 2 CCS,SUV,C,5,37500,Skoda Enyaq iV 60
90,Audi ,e-tron S 55 quattro,4.5,210,320,270,510.0,Yes,AWD,Type 2 CCS,SUV,E,5,93800,Audi e-tron S 55 quattro
91,Smart ,EQ fortwo cabrio,11.9,130,95,176,0.0,No,RWD,Type 2,Cabrio,A,2,24565,Smart EQ fortwo cabrio
92,Kia ,e-Soul 64 kWh,7.9,167,365,175,320.0,Yes,FWD,Type 2 CCS,SUV,B,5,36837,Kia e-Soul 64 kWh
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,Nissan Ariya e-4ORCE 87kWh
94,Fiat ,500e Convertible,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,Fiat 500e Convertible
95,Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,Volkswagen ID.3 Pro Performance
96,Kia ,e-Soul 39 kWh,9.9,157,230,170,220.0,Yes,FWD,Type 2 CCS,SUV,B,5,33133,Kia e-Soul 39 kWh
97,Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420.0,Yes,RWD,Type 2 CCS,SUV,E,5,53500,Byton M-Byte 72 kWh 2WD
98,Nissan ,Ariya 63kWh,7.5,160,330,191,440.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,Nissan Ariya 63kWh
99,Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540.0,Yes,AWD,Type 2 CCS,SUV,E,5,96050,Audi e-tron S Sportback 55 quattro
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,Nissan Ariya e-4ORCE 63kWh
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,Nissan Ariya e-4ORCE 87kWh Performance
102,Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480.0,Yes,AWD,Type 2 CCS,SUV,E,5,62000,Byton M-Byte 95 kWh 2WD
